source,event,crop,crop_group,district,area_under_crop_acre,fully_damaged_acre,partially_damaged_acre,pct_partial_damage,total_damaged_acre,yield_kg_per_acre,production_loss_t,page
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Til,Til,Nawabganj,2923.0,0.0,1416.0,8.66,123.0,450.0,54.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Til,Til,Rajshahi,1731.0,247.0,745.0,28.62,460.0,384.0,185.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Til,Til,Bangladesh,13429.0,299.0,4268.0,25.37,1378.0,6518.0,586.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Jhinga,Jhinga,Jessore,403.0,3.0,181.0,46.52,87.0,2613.0,228.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Jhinga,Jhinga,Jhenaidah,129.0,0.0,74.0,32.96,24.0,3001.0,75.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Jhinga,Jhinga,Bangladesh,532.0,3.0,255.0,42.58,112.0,5615.0,303.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Patal,Patal,Jhalokati,1136.0,0.0,169.0,3.5,6.0,1401.0,8.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Patal,Patal,Jessore,3522.0,10.0,2060.0,53.5,1112.0,5733.0,6376.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Patal,Patal,Jhenaidah,1362.0,0.0,606.0,28.46,172.0,3809.0,774.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Patal,Patal,Khulna,176.0,0.0,88.0,38.3,34.0,1622.0,51.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Patal,Patal,Naogaon,681.0,0.0,108.0,20.65,22.0,4985.0,123.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Patal,Patal,Bangladesh,6877.0,10.0,3031.0,44.1,1347.0,17548.0,7332.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Barisal,4855.0,0.0,94.0,69.15,65.0,1392.0,90.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Patuakhali,839.0,0.0,267.0,6.75,18.0,1089.0,20.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Bagerhat,2032.0,0.0,943.0,17.01,160.0,2085.0,334.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Chuadanga,6654.0,0.0,2535.0,34.95,886.0,3824.0,4246.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Jhenaidah,5735.0,0.0,2004.0,18.82,377.0,5252.0,2672.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Khulna,681.0,9.0,245.0,20.32,58.0,2207.0,128.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Kushtia,3200.0,0.0,2191.0,8.99,197.0,7315.0,1441.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Narail,1115.0,0.0,67.0,26.23,18.0,5815.0,119.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Satkhira,2525.0,0.0,2525.0,35.65,900.0,2384.0,2407.0,438
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Beatel Leaves (Paan),Beatel Leaves (Paan),Bangladesh,27635.0,9.0,10871.0,24.57,2680.0,31363.0,11458.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Barisal,498.0,0.0,46.0,23.91,11.0,6320.0,70.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Patuakhali,573.0,0.0,64.0,6.75,4.0,23.0,0.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Bagerhat,267.0,5.0,125.0,20.37,30.0,16857.0,513.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Jessore,3522.0,10.0,2060.0,53.5,1112.0,5733.0,6376.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Jhenaidah,209.0,0.0,88.0,28.32,25.0,19124.0,435.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Magura,683.0,12.0,362.0,54.51,209.0,12624.0,2637.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Narail,683.0,12.0,362.0,54.51,209.0,12624.0,2637.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Papaya,Papaya,Bangladesh,6435.0,38.0,3106.0,50.29,1601.0,73305.0,12667.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Brinjal,Brinjal,Jessore,2088.0,25.0,813.0,43.38,378.0,4078.0,1540.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Brinjal,Brinjal,Jhenaidah,1520.0,40.0,732.0,22.39,204.0,5990.0,1382.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Brinjal,Brinjal,Khulna,423.0,0.0,270.0,37.04,100.0,2091.0,212.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Brinjal,Brinjal,Naogaon,125.0,0.0,87.0,17.9,16.0,6011.0,101.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Brinjal,Brinjal,Sirajganj,862.0,0.0,243.0,10.66,26.0,2944.0,46.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Brinjal,Brinjal,Bangladesh,5018.0,65.0,2145.0,30.68,723.0,21113.0,3281.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Patuakhali,2681.0,0.0,324.0,8.25,27.0,279.0,7.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Cox's Bazar,480.0,0.0,7.0,10.0,1.0,21000.0,21.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Noakhali,386.0,0.0,77.0,20.0,15.0,30.0,2.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Jhenaidah,1602.0,5.0,526.0,13.01,73.0,7378.0,420.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Kushtia,3319.0,0.0,857.0,9.36,80.0,796.0,64.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Narail,342.0,0.0,22.0,15.64,4.0,2177.0,8.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Naogaon,976.0,0.0,339.0,45.72,155.0,1266.0,28.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chillies,Chillies,Bangladesh,9786.0,5.0,2153.0,16.26,355.0,32927.0,552.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Laushak,Aus rice,Barisal,1160.0,0.0,105.0,19.62,21.0,1082.0,22.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Laushak,Aus rice,Jessore,361.0,4.0,181.0,42.6,81.0,3210.0,260.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Laushak,Aus rice,Khulna,250.0,0.0,229.0,33.38,76.0,2211.0,169.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Laushak,Aus rice,Bangladesh,1771.0,4.0,515.0,33.81,178.0,6503.0,452.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Lalshak,Lalshak,Barisal,332.0,0.0,42.0,33.33,14.0,936.0,13.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Lalshak,Lalshak,Jessore,691.0,2.0,278.0,24.19,69.0,2195.0,152.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Lalshak,Lalshak,Bangladesh,1023.0,2.0,320.0,25.39,83.0,3131.0,165.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Soyabean,Soyabean,Barisal,7880.0,0.0,708.0,27.4,194.0,494.0,96.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Soyabean,Soyabean,Bangladesh,7880.0,0.0,708.0,27.4,194.0,494.0,96.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chichinga,Chichinga,Brahamanbaria,245.0,0.0,6.0,10.0,1.0,14929.0,1.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chichinga,Chichinga,Jessore,511.0,2.0,193.0,36.28,72.0,4027.0,290.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Chichinga,Chichinga,Bangladesh,756.0,2.0,199.0,35.49,73.0,18956.0,291.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Ladies finger,Ladies finger,Brahamanbaria,713.0,0.0,9.0,10.0,1.0,13892.0,2.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Ladies finger,Ladies finger,Jessore,741.0,7.0,252.0,22.74,64.0,3670.0,236.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Ladies finger,Ladies finger,Bangladesh,1454.0,7.0,261.0,22.32,65.0,17562.0,238.0,439
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Dhundal,Dhundal,Brahamanbaria,64.0,0.0,6.0,10.0,1.0,5390.0,1.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Dhundal,Dhundal,Bangladesh,64.0,0.0,6.0,10.0,1.0,5390.0,1.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Puishak,Puishak,Brahamanbaria,543.0,0.0,1.0,9.68,0.0,55139.0,1.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Puishak,Puishak,Khulna,66.0,0.0,34.0,31.76,108.0,3809.0,41.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Puishak,Puishak,Bangladesh,609.0,0.0,35.0,30.99,108.0,58948.0,41.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Barbati,Barbati,Jessore,350.0,0.0,117.0,21.57,25.0,4054.0,102.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Barbati,Barbati,Bangladesh,350.0,0.0,117.0,21.57,25.0,4054.0,102.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Danta,Danta,Jessore,880.0,3.0,183.0,20.45,40.0,4849.0,196.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Danta,Danta,Bangladesh,880.0,3.0,183.0,20.45,40.0,4849.0,196.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Chuadanga,5042.0,0.0,3176.0,57.84,1837.0,1701.0,8854.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Kushtia,1644.0,0.0,1427.0,29.01,414.0,16577.0,6863.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Magura,500.0,0.0,25.0,5.31,1.0,1250.0,2.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Narail,876.0,0.0,122.0,43.77,53.0,3358.0,234.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Satkhira,5493.0,0.0,5493.0,56.92,3126.0,4087.0,10086.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Naogaon,185.0,0.0,103.0,67.17,69.0,3825.0,11.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Pabna,346.0,0.0,346.0,15.0,52.0,8080.0,419.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mango,Mango,Bangladesh,14086.0,0.0,10692.0,51.94,5553.0,38877.0,26471.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mung Dal,Mung Dal,Chuadanga,2958.0,0.0,2951.0,31.42,927.0,239.0,579.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mung Dal,Mung Dal,Khulna,17.0,1.0,5.0,3.15,1.0,575.0,1.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mung Dal,Mung Dal,Kushtia,35.0,0.0,9.0,22.22,2.0,600.0,1.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mung Dal,Mung Dal,Narail,586.0,0.0,46.0,17.83,8.0,512.0,5.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Mung Dal,Mung Dal,Bangladesh,3660.0,937.0,3596.0,30.11,1.0,938.0,1926.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Litchi,Litchi,Kushtia,80.0,0.0,56.0,16.07,9.0,2846.0,26.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Litchi,Litchi,Magura,49.0,0.0,14.0,28.57,4.0,6357.0,25.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Litchi,Litchi,Bangladesh,277.0,0.0,170.0,10.59,18.0,15261.0,82.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Aus,Aus rice,Pabna,5181.0,0.0,640.0,11.25,72.0,527.0,38.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Aus,Aus rice,Bangladesh,5181.0,0.0,640.0,11.25,72.0,527.0,38.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Kalmishak,Kalmishak,Sirajganj,3.0,0.0,3.0,5.0,0.0,1022.0,0.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Kalmishak,Kalmishak,Bangladesh,3.0,0.0,3.0,5.0,0.0,1022.0,0.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Onion,Onion,Sirajganj,139.0,0.0,0.0,0.0,0.0,2922.0,1.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Onion,Onion,Bangladesh,139.0,0.49,0.0,0.0,0.49,2922.0,1.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Peanut,Peanut,Lakshmipur,6055.0,0.0,334.0,8.0,27.0,296.0,8.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different Crops of Cyclone (Amphan) in the Month of May 2020,Peanut,Peanut,Bangladesh,6055.0,0.0,334.0,8.0,27.0,296.0,8.0,440
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Potato,Potato,Nilphamari,,0.0,25.0,30.0,7.5,7680.0,57.6,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Potato,Potato,Bangladesh,,0.0,25.0,30.0,7.5,7680.0,57.6,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Banana,Banana,Pabna,,0.0,66.0,9.0,5.86,69235.0,405.717,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Banana,Banana,Bangladesh,,0.0,66.0,9.0,5.86,69235.0,405.717,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Cucumber,Cucumber,Sirajganj,,41.0,0.0,100.0,41.0,2592.6,106.297,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Cucumber,Cucumber,Kurigram,,18.35,61.65,34.0,40.0,4130.0,163.381,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Cucumber,Cucumber,Bangladesh,,59.35,61.65,34.0,81.0,3361.3,270.784,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Lal Shak,Lal Shak,Sirajganj,,37.0,0.0,0.0,37.0,2100.83,77.73,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Lal Shak,Lal Shak,Kurigram,,11.1,64.6,60.2,49.99,1871.0,93.53,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Lal Shak,Lal Shak,Lalmonirhat,,6.5,7.34,73.0,11.84,1848.0,21.88,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Lal Shak,Lal Shak,Bangladesh,,54.6,71.94,61.0,98.83,1939.943,191.72,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Brinjal,Brinjal,Sirajganj,,49.48,0.0,0.0,49.48,4918.0,243.3,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Brinjal,Brinjal,Pabna,,0.0,324.0,12.0,38.49,5137.0,197.7,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Brinjal,Brinjal,Naogaon,,0.0,12.0,8.0,0.97,5955.0,5.8,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Brinjal,Brinjal,Kurigram,,70.12,87.35,62.0,124.022,3827.0,474.6,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Brinjal,Brinjal,Bangladesh,,119.6,423.35,22.0,212.962,4959.25,1056.1,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Puishak,Puishak,Sirajganj,,84.89,0.0,0.0,84.89,5463.66,463.81,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Puishak,Puishak,Kurigram,,7.5,31.0,50.0,23.0,2875.26,66.131,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Puishak,Puishak,Bangladesh,,92.39,31.0,50.0,107.89,4169.46,449.843,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Local,Jute,Pabna,,101.0,0.0,0.0,101.0,186.97,18.884,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Local,Jute,Naogaon,,184.0,0.0,0.0,184.0,217.57,40.0329,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Local,Jute,Bogra,,10322.0,1228.0,50.0,10936.0,204.14,2232.48,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Local,Jute,Rajshahi,,242.3,1538.0,55.0,1087.3,199.66,217.09,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Local,Jute,Sirajganj,,513.0,307.0,36.0,623.8,154.5,96.38,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Local,Jute,Bangladesh,,11362.3,3073.0,89.0,12932.1,356.585,2583.7,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Tosha/Ufshi,Jute,Sirajganj,,9384.0,36930.0,49.0,11194.3,154.5,8923.72,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Tosha/Ufshi,Jute,Bangladesh,,9384.0,3693.0,49.0,11194.3,154.5,1729.519,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Meshta,Jute,Sirajganj,,572.0,88.0,26.0,594.6,154.5,91.8657,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Meshta,Jute,Bangladesh,,572.0,88.0,26.0,594.6,154.5,91.8657,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Kenaf,Jute,Sirajganj,,1210.0,61.25,25.0,1225.313,154.5,532.39,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Jute Kenaf,Jute,Bangladesh,,1210.0,61.25,25.0,1225.31,154.5,189.3108,441
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,TIL (summer),TIL (summer),Sirajganj,,70.0,0.0,0.0,70.0,359.51,25.1657,442
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,TIL (summer),TIL (summer),Bangladesh,,70.0,0.0,0.0,70.0,359.51,25.1657,442
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Chili (summer),Chili (summer),Kurigram,,35.21,122.3,37.0,80.6,2413.0,194.4878,442
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Chili (summer),Chili (summer),Lalmonirhat,,6.5,11.5,44.0,11.55,3215.0,37.13325,442
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Chili (summer),Chili (summer),Rangpur,,2.4,7.0,50.0,5.9,2126.0,12.5434,442
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Chili (summer),Chili (summer),Pabna,,6.0,3.0,67.0,8.0,2950.0,23.6004,442
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Chili (summer),Chili (summer),Naogaon,,23.2,0.0,0.0,23.2,745.0,17.27333,442
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Damage of different crops due to flood in the month of July 2020-21,Chili (summer),Chili (summer),Bangladesh,,50.11,143.8,39.0,106.05,3568.017,378.3882,442
