crop,variant,table,pdf_pages
Kharif Brinjal,all,"Table: 3.9.2 Area and Production of Kharif Brinjal by District, 2022-23 to 2024-25.",302-303
Kharif Chili,all,"Table: 3.4.1 Area and Production of Kharif Chili by District, 2022-23 to 2024-25.",158-159
Kharif Cotton (Cumilla),all,"Table: 3.6.1 Area and Production of Kharif Cotton (Cumilla) by District, 2022-23 to 2024-25.",203-204
Kharif Maize,all,"Table: 3.1.2.3. Area and Production of Kharif Maize by District, 2022-23 to 2024-25.",109-110
Kharif Pumpkin,all,Table: 3.9.1 Area and Production of Kharif Pumpkin by District 2022-23 to 2024-25.,300-301
Kheshari,all,"Table: 3.2.7 Area and Production of Kheshari by District, 2022-23 to 2024-25.",132-133
Khirai,all,"Table: 3.9.11 Area and Production of Khirai by District, 2022-23 to 2024-25.",312-313
Kolmi Shak,all,"Table: 3.9.43 Area and Production of Kolmi Shak by District, 2022-23 to 2024-25.",381-382
Lady's Finger by Distric,all,Table: 3.9.4 Area and Production of Lady's Finger by Distric 2022-23 to 2024-25.,306-307
Laushak,all,"Table: 3.9.30 Area and Production of Laushak by District, 2022-23 to 2024-25.",355-356
Lentil (Masur),all,"Table: 3.2.3 Area and Production of Lentil (Masur) by District, 2022-23 to 2024-25.",124-125
Linseed,all,"Table: 3.3.6 Area and Production of Linseed by District, 2022-23 to 2024-25.",149-150
Long bean (Barbati),all,Table: 3.9.39 Area and Production of Long bean (Barbati) by District 2022-23 to 2024-25.,373-374
Maan Kachu,all,"Table: 3.9.34 Area and Production of Maan Kachu by District, 2022-23 to 2024-25.",363-364
Maize (Rabi & Kharif),all,"Table: 3.1.2.5 Area and Production of Maize (Rabi & Kharif) by District, 2022-23 to 2024-25.",113-114
Marry Gold Flower,all,"Table:3.12.1 Area and Production of Marry Gold Flower by District, 2022-23 to 2024-25.",407-408
Melon (Banggi),all,"Table: 3.8.14 Area and Production of Melon (Banggi) by District, 2022-23. to 2024-25.",255-256
Methi (Fenugreek Plant),all,"Table: 3.4.12 Area and Production of Methi (Fenugreek Plant) by District, 2022-23 to 2024-25.",180-181
Mint,all,"Table: 3.4.13 Area and Production of Mint by District, 2022-23 to 2024-25.",182-183
Mukhi Kachu,all,Table: 3.9.44 Area and Production of Mukhi Kachu by District 2022-23 to 2024-25.,385-386
Mulberry,all,"Table: 3.11.3 Area and Production of Mulberry by District, 2022-23 to 2024-25.",404-404
Mura Kachu,all,Table: 3.9.35 Area and Production of Mura Kachu by District 2022-23 to 2024-25.,365-366
Oal Kachu,all,Table: 3.9.43 Area and Production of Oal Kachu by District 2022-23 to 2024-25.,383-384
Onion,all,"Table: 3.4.3 Area and Production of Onion by District, 2022-23 to 2024-25.",162-163
Palmyra Palm (Juice),all,"Table: 3.5.6 Area and Production of Palmyra Palm (Juice) by District, 2022-23 to 2024-25",197-197
Pani Kachu,all,"Table: 3.9.45 Area and Production of Pani Kachu by District, 2022-23 to 2024-25.",387-388
Pat Shak,all,Table: 3.9.38 Area and Production of Pat Shak by District 2022-23 to 2024-25.,371-372
Patal,all,Table: 3.9.3 Area and Production of Patal by District 2022-23 to 2024-25.,304-305
Pea (Motor),all,"Table: 3.2.4 Area and Production of Pea (Motor) by District, 2022-23 to 2024-25.",126-127
Pineapple,all,"Table: 3.8.3 Area and Production of Pineapple by District, 2022-23 to 2024-25.",233-234
Potato,HYV,"Table: 3.10.2 Estimates of Potato (HYV), 2023-24 to 2024-25.",393-394
Potato,local,"Table:3.10.1 Estimates of Potato (Local), 2023-24 to 2024-25.",391-392
Potato,total,"Table:3.10.3 Estimates of Total Potato (Total= Local+HYV), 2023-24 to 2024-25.",395-396
Rabi Brinjal,all,"Table: 3.9.20 Area and Production of Rabi Brinjal by District, 2022-23 to 2024-25.",333-334
Rabi Cotton (American),all,"Table: 3.6.2 Area and Production of Rabi Cotton (American) by District, 2022-23 to 2024-25.",205-206
Rabi Jower,all,"Table: 3.1.2.2 Area and Production of Rabi Jower by District, 2022-23 to 2024-25.",105-106
Rabi Maize,all,"Table: 3.1.2.4 Area and Production of Rabi Maize by District, 2022-23 to 2024-25.",111-112
Rabi Pumpkin,all,"Table: 3.9.23 Area and Production of Rabi Pumpkin by District, 2022-23 to 2024-25.",341-342
Radish,all,"Table: 3.9.25 Area and Production of Radish by District, 2022-23 to 2024-25.",345-346
Rape and Mustard (Local+HYV),all,"Table: 3.3.2 Area and Production of Rape and Mustard (Local+HYV) by District, 2022-23 to 2024-25.",141-142
Red Amaranth (Lal Shak),all,"Table: 3.9.28 Area and Production of Red Amaranth (Lal Shak) by District, 2022-23 to 2024-25.",351-352
Ridge Gourd (Jhinga),all,"Table: 3.9.5 Area and Production of Ridge Gourd (Jhinga) by District, 2022-23 to 2024-25.",308-309
Ripe Banana,all,"Table: 3.8.1 Area and Production of Ripe Banana by District, 2022-23 to 2024-25.",229-230
Ripe Palmyra (Tal),all,Table: 3.5.4 Area and Production of Ripe Palmyra (Tal) by District 2022-23 to 2024-25.,193-193
Robi Chili,all,"Table: 3.4.2 Area and Production of Robi Chili by District, 2022-23 to 2024-25.",160-161
Robi Fodder,all,"Table: 3.11.2 Area and Production of Robi Fodder by District, 2022-23 to 2024-25.",402-403
Sesame Till (Rabi & Kharif),all,"Table: 3.3.1 Area and Production of Sesame Till (Rabi & Kharif) by District, 2022-23 to 2024-25.",139-140
Shalgom,all,Table: 3.9.32 Area and Production of Shalgom by District 2022-23 to 2024-25.,359-360
Snake Gourd (Chichinga),all,"Table: 3.9.15 Area and Production of Snake Gourd (Chichinga) by District, 2022-23 to 2024-25.",320-321
Soyabean,all,"Table: 3.3.7 Area and Production of Soyabean by District, 2022-23 to 2024-25.",151-152
Sponge Gourd (Dhundul),all,Table: 3.9.40 Area and Production of Sponge Gourd (Dhundul) by District 2022-23 to 2024-25.,375-376
Strawberry,all,"Table: 3.8.7 Area and Production of Strawberry by District, 2022-23 to 2024-25.",241-242
Sugarcane,all,"Table: 3.5.1 Area and Production of Sugarcane by District, 2022-23 to 2024-25.",187-188
Sunflower (Surjamukhi),all,"Table:3.3.9 Area and Production of Sunflower (Surjamukhi) by District, 2022-23 to 2024-25.",155-156
Sweet Potato,all,"Table: 3.10.4 Area and Production of Sweet Potato by District, 2022-23 to 2024-25.",397-398
Tea,all,Table: 3.7.1 Area and Production of Tea by District 2022-23 to 2024-25.,214-215
Tobacco (Jati),all,"Table: 3.7.2 Area and Production of Tobacco (Jati) by District, 2022-23 to 2024-25.",216-217
Tobacco (Jati+Motihari+Virjinia),all,"Table: 3.7.5 Area and Production of Tobacco (Jati+Motihari+Virjinia) by District, 2022-23 to 2024-25.",222-223
Tobacco (Matihari),all,"Table: 3.7.3 Area and Production of Tobacco (Matihari) by District, 2022-223 to 2024-25.",218-219
Tobacco (Virginia),all,"Table: 3.7.4 Area and Production of Tobacco (Virginia) by District, 2022-23 to 2024-25.",220-221
Tomato,all,"Table: 3.9.24 Area and Production of Tomato by District, 2022-23 to 2024-25.",343-344
Tube Rose Flower,all,"Table: 3.12.3 Area and Production of Tube Rose Flower by District, 2022-23 to 2024-25.",411-412
Utchee,all,Table: 3.9.31 Area and Production of Utchee by District 2022-23 to 2024-25.,357-358
Water Fruit,all,"Table: 3.8.34 Area and Production of Water Fruit by District, 2022-23 to 2024-25.",295-296
Water Melon,all,"Table: 3.8.6 Area and Production of Water Melon by District, 2022-23 to 2024-25.",239-240
Wheat,all,"Table: Estimates of Wheat, 2023-24 to 2024-25.",100-101
Wood Apple (Bel),all,"Table: 3.8.22 Area and Production of Wood Apple (Bel) by District, 2022-23 to 2024-25.",271-271
lime and Lemon,all,"Table: 3.8.12 Area and Production of lime and Lemon by District, 2022-23 to 2024-25.",251-251
