item,element,year,value,unit
"Lentils, dry",Production,1961,42672.0,t
Lettuce and chicory,Area harvested,1961,8500.0,ha
Lettuce and chicory,Yield,1961,5647.1,kg/ha
Lettuce and chicory,Production,1961,48000.0,t
Linseed,Area harvested,1961,19425.0,ha
Linseed,Yield,1961,523.0,kg/ha
Linseed,Production,1961,10160.0,t
Maize (corn),Area harvested,1961,8903.0,ha
Maize (corn),Yield,1961,798.8,kg/ha
Maize (corn),Production,1961,7112.0,t
"Mangoes, guavas and mangosteens",Area harvested,1961,40000.0,ha
"Mangoes, guavas and mangosteens",Yield,1961,12700.0,kg/ha
"Mangoes, guavas and mangosteens",Production,1961,508000.0,t
"Meat of buffalo, fresh or chilled",Yield/Carcass Weight,1961,76.0,kg/An
"Meat of buffalo, fresh or chilled",Production,1961,1900.0,t
"Meat of buffalo, fresh or chilled",Producing Animals/Slaughtered,1961,25000.0,An
"Meat of cattle with the bone, fresh or chilled",Yield/Carcass Weight,1961,56.0,kg/An
"Meat of cattle with the bone, fresh or chilled",Production,1961,117900.0,t
"Meat of cattle with the bone, fresh or chilled",Producing Animals/Slaughtered,1961,2105000.0,An
"Meat of chickens, fresh or chilled",Yield/Carcass Weight,1961,725.0,g/An
"Meat of chickens, fresh or chilled",Production,1961,11600.0,t
"Meat of chickens, fresh or chilled",Producing Animals/Slaughtered,1961,16000.0,1000 An
"Meat of ducks, fresh or chilled",Yield/Carcass Weight,1961,1000.0,g/An
"Meat of ducks, fresh or chilled",Production,1961,7000.0,t
"Meat of ducks, fresh or chilled",Producing Animals/Slaughtered,1961,7000.0,1000 An
"Meat of goat, fresh or chilled",Yield/Carcass Weight,1961,7.0,kg/An
"Meat of goat, fresh or chilled",Production,1961,26600.0,t
"Meat of goat, fresh or chilled",Producing Animals/Slaughtered,1961,3800000.0,An
"Meat of sheep, fresh or chilled",Yield/Carcass Weight,1961,6.0,kg/An
"Meat of sheep, fresh or chilled",Production,1961,900.0,t
"Meat of sheep, fresh or chilled",Producing Animals/Slaughtered,1961,150000.0,An
Millet,Area harvested,1961,59500.0,ha
Millet,Yield,1961,665.5,kg/ha
Millet,Production,1961,39600.0,t
Molasses,Production,1961,22350.0,t
Oil of linseed,Production,1961,3309.62,t
Oil of sesame seed,Production,1961,10036.99,t
"Onions and shallots, dry (excluding dehydrated)",Area harvested,1961,22300.0,ha
"Onions and shallots, dry (excluding dehydrated)",Yield,1961,6121.1,kg/ha
