pattern,district,area_ha,pct_district_nca,pct_of_pattern_in_bd,source
Boro-Fallow-T. Aman,Lakshmipur,20200,20.22,0.88,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Khulna,19870,15.64,0.86,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Bagerhat,19600,17.26,0.85,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Joypurhat,19200,24.46,0.83,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Habiganj,19070,11.32,0.83,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Kushtia,17900,15.6,0.78,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Chandpur,14690,15.97,0.64,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Nawabganj,14100,11.71,0.61,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Noakhali,12460,6.28,0.54,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Meherpur,9800,18.12,0.42,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Khagrachhari,9570,21.59,0.42,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Pabna,8650,4.69,0.38,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
Boro-Fallow-T. Aman,Pirojpur,6540,7.95,0.28,"Nasim et al. 2017, Bangladesh Rice Journal 21(2):1-55, doi:10.3329/brj.v21i2.38195"
