item,year,Area harvested,Production,Stocks,Yield
Cattle,1993,,,23569000.0,
Cattle,1994,,,23769000.0,
Cattle,1995,,,23977000.0,
Cattle,1996,,,22020000.0,
Cattle,1997,,,22090000.0,
Cattle,1998,,,22160000.0,
Cattle,1999,,,22230000.0,
Cattle,2000,,,22310000.0,
Cattle,2001,,,22380000.0,
Cattle,2002,,,22460000.0,
Cattle,2003,,,22580000.0,
Cattle,2004,,,22600000.0,
Cattle,2005,,,22670000.0,
Cattle,2006,,,22800000.0,
Cattle,2007,,,22870000.0,
Cattle,2008,,,22900000.0,
Cattle,2009,,,22976000.0,
Cattle,2010,,,23051000.0,
Cattle,2011,,,23121000.0,
Cattle,2012,,,23195000.0,
Cattle,2013,,,23341000.0,
Cattle,2014,,,23488000.0,
Cattle,2015,,,23636000.0,
Cattle,2016,,,23785000.0,
Cattle,2017,,,23935000.0,
Cattle,2018,,,24086000.0,
Cattle,2019,,,24187000.0,
Cattle,2020,,,24391000.0,
Cattle,2021,,,24545000.0,
Cattle,2022,,,24700000.0,
Cattle,2023,,,24856000.0,
Cattle,2024,,,25013000.0,
"Chick peas, dry",1961,60299.0,36576.0,,606.6
"Chick peas, dry",1962,57466.0,37592.0,,654.2
"Chick peas, dry",1963,55847.0,34544.0,,618.5
"Chick peas, dry",1964,51800.0,33528.0,,647.3
"Chick peas, dry",1965,51396.0,37592.0,,731.4
"Chick peas, dry",1966,54600.0,43700.0,,800.4
"Chick peas, dry",1967,59100.0,48800.0,,825.7
"Chick peas, dry",1968,61500.0,47800.0,,777.2
"Chick peas, dry",1969,68400.0,54900.0,,802.6
"Chick peas, dry",1970,70000.0,57900.0,,827.1
"Chick peas, dry",1971,73200.0,61000.0,,833.3
"Chick peas, dry",1972,71669.0,59520.0,,830.5
"Chick peas, dry",1973,90000.0,60000.0,,666.7
"Chick peas, dry",1974,110000.0,75000.0,,681.8
"Chick peas, dry",1975,130000.0,90000.0,,692.3
"Chick peas, dry",1976,160000.0,112000.0,,700.0
"Chick peas, dry",1977,191000.0,125000.0,,654.5
"Chick peas, dry",1978,140000.0,105000.0,,750.0
"Chick peas, dry",1979,127000.0,95000.0,,748.0
"Chick peas, dry",1980,128000.0,85000.0,,664.1
"Chick peas, dry",1981,128000.0,81000.0,,632.8
"Chick peas, dry",1982,116000.0,78000.0,,672.4
"Chick peas, dry",1983,118000.0,87000.0,,737.3
"Chick peas, dry",1984,113300.0,86800.0,,766.1
"Chick peas, dry",1985,108900.0,81200.0,,745.6
"Chick peas, dry",1986,103634.0,77579.0,,748.6
"Chick peas, dry",1987,103691.0,81710.0,,788.0
"Chick peas, dry",1988,103044.0,74568.0,,723.7
"Chick peas, dry",1989,102759.0,66156.0,,643.8
"Chick peas, dry",1990,102867.0,70120.0,,681.7
"Chick peas, dry",1991,96714.0,71005.0,,734.2
"Chick peas, dry",1992,92145.0,64680.0,,701.9
"Chick peas, dry",1993,90470.0,67375.0,,744.7
"Chick peas, dry",1994,85400.0,62000.0,,726.0
"Chick peas, dry",1995,85000.0,62000.0,,729.4
"Chick peas, dry",1996,85400.0,62000.0,,726.0
"Chick peas, dry",1997,84435.0,61485.0,,728.2
"Chick peas, dry",1998,84025.0,59900.0,,712.9
"Chick peas, dry",1999,18219.0,15000.0,,823.3
"Chick peas, dry",2000,18219.0,14000.0,,768.4
"Chick peas, dry",2001,17004.0,14000.0,,823.3
"Chick peas, dry",2002,15378.0,11000.0,,715.3
"Chick peas, dry",2003,14974.0,11000.0,,734.6
"Chick peas, dry",2004,13759.0,10000.0,,726.8
"Chick peas, dry",2005,13089.0,9630.0,,735.7
"Chick peas, dry",2006,12727.0,9760.0,,766.9
"Chick peas, dry",2007,12586.0,9810.0,,779.4
"Chick peas, dry",2008,9349.0,7168.0,,766.7
"Chick peas, dry",2009,8177.0,6551.0,,801.1
"Chick peas, dry",2010,7224.0,5744.0,,795.1
"Chick peas, dry",2011,8229.0,6605.0,,802.6
"Chick peas, dry",2012,7700.0,7000.0,,909.1
"Chick peas, dry",2013,7284.0,7000.0,,961.0
"Chick peas, dry",2014,6878.0,6000.0,,872.3
"Chick peas, dry",2015,7072.0,6672.0,,943.4
"Chick peas, dry",2016,6083.0,6382.0,,1049.2
"Chick peas, dry",2017,5917.0,6237.0,,1054.1
"Chick peas, dry",2018,5027.0,4964.0,,987.5
"Chick peas, dry",2019,4812.0,5347.0,,1111.1
"Chick peas, dry",2020,4632.0,4942.0,,1066.9
"Chick peas, dry",2021,4580.0,5008.0,,1093.4
"Chick peas, dry",2022,4335.0,4846.0,,1117.9
"Chick peas, dry",2023,6978.0,7707.0,,1104.5
"Chick peas, dry",2024,3946.0,5048.0,,1279.3
Goats,1961,,,7600000.0,
Goats,1962,,,7950000.0,
Goats,1963,,,8310000.0,
Goats,1964,,,8978000.0,
Goats,1965,,,9150000.0,
Goats,1966,,,8200000.0,
Goats,1967,,,8400000.0,
Goats,1968,,,8600000.0,
Goats,1969,,,8800000.0,
Goats,1970,,,9057000.0,
Goats,1971,,,9400000.0,
Goats,1972,,,9800000.0,
Goats,1973,,,10200000.0,
Goats,1974,,,10600000.0,
Goats,1975,,,11000000.0,
Goats,1976,,,11600000.0,
Goats,1977,,,12000000.0,
Goats,1978,,,12339000.0,
Goats,1979,,,13079000.0,
Goats,1980,,,9208000.0,
Goats,1981,,,9420000.0,
Goats,1982,,,9636000.0,
Goats,1983,,,9858000.0,
Goats,1984,,,13558000.0,
Goats,1985,,,14800000.0,
Goats,1986,,,15878000.0,
Goats,1987,,,17034000.0,
Goats,1988,,,18274000.0,
Goats,1989,,,19604000.0,
Goats,1990,,,21031008.0,
Goats,1991,,,22352000.0,
Goats,1992,,,23979008.0,
Goats,1993,,,25967008.0,
Goats,1994,,,28050000.0,
Goats,1995,,,30330000.0,
Goats,1996,,,33312000.0,
Goats,1997,,,34478000.0,
Goats,1998,,,33500000.0,
Goats,1999,,,31730820.0,
Goats,2000,,,29600283.0,
Goats,2001,,,27237611.0,
Goats,2002,,,24855840.0,
Goats,2003,,,22491188.0,
Goats,2004,,,20956474.0,
Goats,2005,,,20042017.0,
Goats,2006,,,19940000.0,
Goats,2007,,,20750000.0,
Goats,2008,,,21560000.0,
Goats,2009,,,22401000.0,
Goats,2010,,,23275000.0,
Goats,2011,,,24149000.0,
Goats,2012,,,25116000.0,
Goats,2013,,,25277000.0,
Goats,2014,,,25439000.0,
Goats,2015,,,25602000.0,
Goats,2016,,,25766000.0,
Goats,2017,,,25931000.0,
Goats,2018,,,26100000.0,
Goats,2019,,,26267000.0,
Goats,2020,,,26435000.0,
Goats,2021,,,26604000.0,
Goats,2022,,,26774000.0,
Goats,2023,,,26945000.0,
Goats,2024,,,27117000.0,
"Groundnuts, excluding shelled",1961,11736.0,13208.0,,1125.4
"Groundnuts, excluding shelled",1962,9308.0,13208.0,,1419.0
"Groundnuts, excluding shelled",1963,8094.0,12192.0,,1506.3
"Groundnuts, excluding shelled",1964,9308.0,12192.0,,1309.8
"Groundnuts, excluding shelled",1965,10117.0,14224.0,,1406.0
"Groundnuts, excluding shelled",1966,16600.0,24400.0,,1469.9
"Groundnuts, excluding shelled",1967,28300.0,41700.0,,1473.5
"Groundnuts, excluding shelled",1968,33600.0,52800.0,,1571.4
"Groundnuts, excluding shelled",1969,32400.0,52800.0,,1629.6
"Groundnuts, excluding shelled",1970,28300.0,46700.0,,1650.2
"Groundnuts, excluding shelled",1971,26657.0,36390.0,,1365.1
"Groundnuts, excluding shelled",1972,22893.0,31498.0,,1375.9
"Groundnuts, excluding shelled",1973,20823.0,28099.0,,1349.4
"Groundnuts, excluding shelled",1974,19462.0,26356.0,,1354.2
"Groundnuts, excluding shelled",1975,22250.0,31599.0,,1420.2
"Groundnuts, excluding shelled",1976,20975.0,23336.0,,1112.6
"Groundnuts, excluding shelled",1977,23472.0,27692.0,,1179.8
"Groundnuts, excluding shelled",1978,24971.0,28023.0,,1122.2
"Groundnuts, excluding shelled",1979,24000.0,27000.0,,1125.0
"Groundnuts, excluding shelled",1980,26000.0,30000.0,,1153.8
"Groundnuts, excluding shelled",1981,26000.0,26000.0,,1000.0
"Groundnuts, excluding shelled",1982,24000.0,26000.0,,1083.3
"Groundnuts, excluding shelled",1983,24000.0,26000.0,,1083.3
"Groundnuts, excluding shelled",1984,32191.0,33335.0,,1035.5
"Groundnuts, excluding shelled",1985,28104.0,32228.0,,1146.7
"Groundnuts, excluding shelled",1986,29546.0,34522.0,,1168.4
"Groundnuts, excluding shelled",1987,29832.0,34167.0,,1145.3
"Groundnuts, excluding shelled",1988,38473.0,48519.0,,1261.1
"Groundnuts, excluding shelled",1989,38198.0,45496.0,,1191.1
"Groundnuts, excluding shelled",1990,38579.0,41724.0,,1081.5
"Groundnuts, excluding shelled",1991,38484.0,35780.0,,929.7
"Groundnuts, excluding shelled",1992,39008.0,42583.0,,1091.6
"Groundnuts, excluding shelled",1993,35750.0,39966.0,,1117.9
"Groundnuts, excluding shelled",1994,35488.0,40095.0,,1129.8
"Groundnuts, excluding shelled",1995,35628.0,40215.0,,1128.7
"Groundnuts, excluding shelled",1996,35539.0,40340.0,,1135.1
"Groundnuts, excluding shelled",1997,34622.0,39525.0,,1141.6
"Groundnuts, excluding shelled",1998,34818.0,39000.0,,1120.1
"Groundnuts, excluding shelled",1999,34008.0,42000.0,,1235.0
"Groundnuts, excluding shelled",2000,29150.0,32000.0,,1097.8
"Groundnuts, excluding shelled",2001,25900.0,27000.0,,1042.5
"Groundnuts, excluding shelled",2002,26710.0,34000.0,,1272.9
"Groundnuts, excluding shelled",2003,25900.0,34240.0,,1322.0
"Groundnuts, excluding shelled",2004,26034.0,34075.0,,1308.9
"Groundnuts, excluding shelled",2005,28852.0,38880.0,,1347.6
"Groundnuts, excluding shelled",2006,29394.0,37980.0,,1292.1
"Groundnuts, excluding shelled",2007,33666.0,45910.0,,1363.7
"Groundnuts, excluding shelled",2008,31084.0,44268.0,,1424.1
"Groundnuts, excluding shelled",2009,32540.0,47160.0,,1449.3
"Groundnuts, excluding shelled",2010,33591.0,53467.0,,1591.7
"Groundnuts, excluding shelled",2011,31755.0,53664.0,,1689.9
"Groundnuts, excluding shelled",2012,31182.0,51944.0,,1665.8
"Groundnuts, excluding shelled",2013,28750.0,49791.0,,1731.9
"Groundnuts, excluding shelled",2014,29560.0,56439.0,,1909.3
"Groundnuts, excluding shelled",2015,31753.0,56713.0,,1786.1
"Groundnuts, excluding shelled",2016,35712.0,62264.0,,1743.5
"Groundnuts, excluding shelled",2017,36903.0,66060.0,,1790.1
"Groundnuts, excluding shelled",2018,38043.0,66828.0,,1756.6
"Groundnuts, excluding shelled",2019,35260.0,62832.0,,1782.0
"Groundnuts, excluding shelled",2020,32710.0,60314.0,,1843.9
"Groundnuts, excluding shelled",2021,31175.0,66745.0,,2141.0
"Groundnuts, excluding shelled",2022,36139.0,74748.0,,2068.3
"Groundnuts, excluding shelled",2023,35526.0,67173.0,,1890.8
"Groundnuts, excluding shelled",2024,39081.0,75364.0,,1928.4
"Jute, raw or retted",1961,834000.0,1314540.0,,1576.2
"Jute, raw or retted",1962,697300.0,1190160.0,,1706.8
"Jute, raw or retted",1963,688000.0,1105200.0,,1606.4
"Jute, raw or retted",1964,671800.0,983880.0,,1464.5
"Jute, raw or retted",1965,886000.0,1319220.0,,1489.0
"Jute, raw or retted",1966,876200.0,1255680.0,,1433.1
"Jute, raw or retted",1967,971000.0,1264140.0,,1301.9
"Jute, raw or retted",1968,897000.0,1055160.0,,1176.3
"Jute, raw or retted",1969,976000.0,1340820.0,,1373.8
"Jute, raw or retted",1970,918000.0,1233900.0,,1344.1
"Jute, raw or retted",1971,694000.0,777600.0,,1120.5
"Jute, raw or retted",1972,896261.0,1201860.0,,1341.0
"Jute, raw or retted",1973,888857.0,1115820.0,,1255.3
"Jute, raw or retted",1974,583000.0,725760.0,,1244.9
"Jute, raw or retted",1975,511000.0,788580.0,,1543.2
"Jute, raw or retted",1976,650000.0,872000.0,,1341.5
"Jute, raw or retted",1977,735000.0,972000.0,,1322.4
"Jute, raw or retted",1978,835000.0,1170000.0,,1401.2
"Jute, raw or retted",1979,760000.0,1080000.0,,1421.1
"Jute, raw or retted",1980,635000.0,896000.0,,1411.0
"Jute, raw or retted",1981,570000.0,842000.0,,1477.2
"Jute, raw or retted",1982,575000.0,885000.0,,1539.1
"Jute, raw or retted",1983,581000.0,946000.0,,1628.2
"Jute, raw or retted",1984,676000.0,928000.0,,1372.8
"Jute, raw or retted",1985,924000.0,1378000.0,,1491.3
"Jute, raw or retted",1986,1057942.0,1571019.0,,1485.0
"Jute, raw or retted",1987,772300.0,1225149.0,,1586.4
"Jute, raw or retted",1988,512304.0,877080.0,,1712.0
"Jute, raw or retted",1989,543386.0,827810.0,,1523.4
"Jute, raw or retted",1990,541704.0,841733.0,,1553.9
"Jute, raw or retted",1991,583439.0,961939.0,,1648.7
"Jute, raw or retted",1992,588097.0,956751.0,,1626.9
"Jute, raw or retted",1993,478300.0,808000.0,,1689.3
"Jute, raw or retted",1994,559700.0,964000.0,,1722.4
"Jute, raw or retted",1995,458500.0,739000.0,,1611.8
"Jute, raw or retted",1996,507236.0,882942.0,,1740.7
"Jute, raw or retted",1997,577493.0,1057000.0,,1830.3
"Jute, raw or retted",1998,477939.0,812000.0,,1699.0
"Jute, raw or retted",1999,407928.0,711000.0,,1743.0
"Jute, raw or retted",2000,448335.0,821000.0,,1831.2
"Jute, raw or retted",2001,456680.0,858740.0,,1880.4
"Jute, raw or retted",2002,436661.0,800000.0,,1832.1
"Jute, raw or retted",2003,407920.0,794000.0,,1946.5
"Jute, raw or retted",2004,390526.0,730000.0,,1869.3
"Jute, raw or retted",2005,402000.0,836000.0,,2079.6
"Jute, raw or retted",2006,419000.0,884000.0,,2109.8
"Jute, raw or retted",2007,440492.0,838682.0,,1904.0
"Jute, raw or retted",2008,420473.0,848715.0,,2018.5
"Jute, raw or retted",2009,416000.0,923500.0,,2220.0
"Jute, raw or retted",2010,416346.0,923464.0,,2218.0
"Jute, raw or retted",2011,708723.0,1523315.0,,2149.4
"Jute, raw or retted",2012,760427.0,1452044.0,,1909.5
"Jute, raw or retted",2013,681000.0,1391000.0,,2042.6
"Jute, raw or retted",2014,665699.0,1349000.0,,2026.4
"Jute, raw or retted",2015,677575.0,1399000.0,,2064.7
"Jute, raw or retted",2016,677678.0,1344000.0,,1983.2
"Jute, raw or retted",2017,737770.0,1496216.0,,2028.0
"Jute, raw or retted",2018,758218.0,1613762.0,,2128.4
"Jute, raw or retted",2019,749658.0,1600474.0,,2134.9
"Jute, raw or retted",2020,679493.0,1751635.0,,2577.9
"Jute, raw or retted",2021,682170.0,1681938.57,,2465.6
"Jute, raw or retted",2022,727382.0,1835937.0,,2524.0
"Jute, raw or retted",2023,729891.0,1881441.0,,2577.7
"Jute, raw or retted",2024,723639.0,2086101.0,,2882.8
"Lentils, dry",1961,62727.0,42672.0,,680.3
"Lentils, dry",1962,64346.0,47752.0,,742.1
"Lentils, dry",1963,72035.0,48768.0,,677.0
"Lentils, dry",1964,67583.0,47752.0,,706.6
"Lentils, dry",1965,66369.0,44704.0,,673.6
"Lentils, dry",1966,68000.0,46700.0,,686.8
"Lentils, dry",1967,70800.0,49800.0,,703.4
"Lentils, dry",1968,68400.0,47800.0,,698.8
"Lentils, dry",1969,71600.0,51800.0,,723.5
"Lentils, dry",1970,90000.0,63000.0,,700.0
"Lentils, dry",1971,100000.0,69000.0,,690.0
"Lentils, dry",1972,120000.0,83000.0,,691.7
"Lentils, dry",1973,150000.0,104000.0,,693.3
"Lentils, dry",1974,180000.0,124000.0,,688.9
"Lentils, dry",1975,200000.0,138000.0,,690.0
"Lentils, dry",1976,250000.0,173000.0,,692.0
"Lentils, dry",1977,291000.0,172000.0,,591.1
"Lentils, dry",1978,293000.0,175000.0,,597.3
"Lentils, dry",1979,295000.0,176000.0,,596.6
"Lentils, dry",1980,289000.0,169000.0,,584.8
"Lentils, dry",1981,285000.0,169000.0,,593.0
"Lentils, dry",1982,248000.0,161000.0,,649.2
"Lentils, dry",1983,240000.0,147000.0,,612.5
"Lentils, dry",1984,240400.0,161200.0,,670.5
"Lentils, dry",1985,233400.0,164200.0,,703.5
"Lentils, dry",1986,222500.0,159600.0,,717.3
"Lentils, dry",1987,212700.0,149000.0,,700.5
"Lentils, dry",1988,216308.0,158715.0,,733.7
"Lentils, dry",1989,215297.0,158040.0,,734.1
"Lentils, dry",1990,209085.0,155120.0,,741.9
"Lentils, dry",1991,210078.0,157280.0,,748.7
"Lentils, dry",1992,208915.0,152820.0,,731.5
"Lentils, dry",1993,207444.0,163425.0,,787.8
"Lentils, dry",1994,207600.0,168000.0,,809.2
"Lentils, dry",1995,207600.0,167945.0,,809.0
"Lentils, dry",1996,206000.0,169945.0,,825.0
"Lentils, dry",1997,206347.0,170505.0,,826.3
"Lentils, dry",1998,205775.0,162700.0,,790.7
"Lentils, dry",1999,205485.0,165315.0,,804.5
"Lentils, dry",2000,166802.0,128000.0,,767.4
"Lentils, dry",2001,164372.0,126000.0,,766.6
"Lentils, dry",2002,157085.0,115000.0,,732.1
"Lentils, dry",2003,154187.0,116000.0,,752.3
"Lentils, dry",2004,154590.0,122200.0,,790.5
"Lentils, dry",2005,153831.0,121065.0,,787.0
"Lentils, dry",2006,134635.0,115370.0,,856.9
"Lentils, dry",2007,137553.0,116810.0,,849.2
"Lentils, dry",2008,72581.0,71535.0,,985.6
"Lentils, dry",2009,70952.0,60537.0,,853.2
"Lentils, dry",2010,77287.0,71100.0,,919.9
"Lentils, dry",2011,82969.0,80442.0,,969.5
"Lentils, dry",2012,86248.0,80125.0,,929.0
"Lentils, dry",2013,89840.0,93000.0,,1035.2
"Lentils, dry",2014,124617.0,157000.0,,1259.9
"Lentils, dry",2015,145492.0,167261.0,,1149.6
"Lentils, dry",2016,154515.0,158228.0,,1024.0
"Lentils, dry",2017,154746.0,168837.0,,1091.1
"Lentils, dry",2018,155963.0,176633.0,,1132.5
"Lentils, dry",2019,142418.0,175384.0,,1231.5
"Lentils, dry",2020,141282.0,177354.0,,1255.3
"Lentils, dry",2021,145972.0,185500.0,,1270.8
"Lentils, dry",2022,144454.0,190743.0,,1320.4
"Lentils, dry",2023,135396.0,196829.0,,1453.7
"Lentils, dry",2024,124892.0,184819.0,,1479.8
Maize (corn),1961,8903.0,7112.0,,798.8
Maize (corn),1962,6880.0,5080.0,,738.4
Maize (corn),1963,5261.0,4064.0,,772.5
Maize (corn),1964,4047.0,3048.0,,753.2
Maize (corn),1965,4047.0,3048.0,,753.2
Maize (corn),1966,3600.0,3000.0,,833.3
Maize (corn),1967,3200.0,3000.0,,937.5
Maize (corn),1968,3200.0,3000.0,,937.5
Maize (corn),1969,3200.0,3000.0,,937.5
Maize (corn),1970,3200.0,3000.0,,937.5
Maize (corn),1971,2800.0,2000.0,,714.3
Maize (corn),1972,2800.0,2000.0,,714.3
Maize (corn),1973,2724.0,2382.0,,874.4
Maize (corn),1974,2656.0,2358.0,,887.8
Maize (corn),1975,2481.0,2239.0,,902.5
Maize (corn),1976,2398.0,2152.0,,897.4
Maize (corn),1977,2333.0,1961.0,,840.5
Maize (corn),1978,2215.0,1770.0,,799.1
Maize (corn),1979,2004.0,1456.0,,726.5
Maize (corn),1980,1927.0,1377.0,,714.6
Maize (corn),1981,1841.0,1344.0,,730.0
Maize (corn),1982,1588.0,1173.0,,738.7
Maize (corn),1983,1230.0,963.0,,782.9
Maize (corn),1984,1131.0,925.0,,817.9
Maize (corn),1985,3772.0,3270.0,,866.9
Maize (corn),1986,3158.0,2920.0,,924.6
Maize (corn),1987,3102.0,2934.0,,945.8
Maize (corn),1988,3369.0,3072.0,,911.8
Maize (corn),1989,3567.0,3359.0,,941.7
Maize (corn),1990,3345.0,3350.0,,1001.5
Maize (corn),1991,3108.0,3040.0,,978.1
Maize (corn),1992,2924.0,2725.0,,931.9
Maize (corn),1993,2914.0,2725.0,,935.1
Maize (corn),1994,3080.0,2785.0,,904.2
Maize (corn),1995,2500.0,2675.0,,1070.0
Maize (corn),1996,2651.0,2695.0,,1016.6
Maize (corn),1997,2428.0,2650.0,,1091.4
Maize (corn),1998,4047.0,2970.0,,733.9
Maize (corn),1999,3240.0,4000.0,,1234.6
Maize (corn),2000,4855.0,10000.0,,2059.7
Maize (corn),2001,19970.0,64335.0,,3221.6
Maize (corn),2002,29060.0,117255.0,,4034.9
Maize (corn),2003,29071.0,117255.0,,4033.4
Maize (corn),2004,50051.0,241460.0,,4824.3
Maize (corn),2005,66830.0,356280.0,,5331.1
Maize (corn),2006,98404.0,521525.0,,5299.8
Maize (corn),2007,150832.0,902150.0,,5981.2
Maize (corn),2008,223770.0,1346470.0,,6017.2
Maize (corn),2009,128386.0,729629.0,,5683.1
Maize (corn),2010,152009.0,887391.0,,5837.8
Maize (corn),2011,165542.0,1018287.0,,6151.2
Maize (corn),2012,197108.0,1297717.0,,6583.8
Maize (corn),2013,234714.0,1548000.0,,6595.3
Maize (corn),2014,307152.0,2124000.0,,6915.1
Maize (corn),2015,325308.0,2271998.0,,6984.1
Maize (corn),2016,334974.0,2445576.0,,7300.8
Maize (corn),2017,389878.0,3025392.0,,7759.8
Maize (corn),2018,400478.0,3288102.0,,8210.4
Maize (corn),2019,445099.0,3569321.0,,8019.2
Maize (corn),2020,471709.0,4015306.0,,8512.3
Maize (corn),2021,479826.0,4116438.0,,8579.0
Maize (corn),2022,478227.0,4261845.0,,8911.8
Maize (corn),2023,496882.0,4592507.0,,9242.7
Maize (corn),2024,496681.0,4592508.0,,9246.4
"Meat of cattle with the bone, fresh or chilled",1961,,117900.0,,
"Meat of cattle with the bone, fresh or chilled",1962,,120600.0,,
"Meat of cattle with the bone, fresh or chilled",1963,,122850.0,,
"Meat of cattle with the bone, fresh or chilled",1964,,125100.0,,
"Meat of cattle with the bone, fresh or chilled",1965,,125100.0,,
"Meat of cattle with the bone, fresh or chilled",1966,,130500.0,,
"Meat of cattle with the bone, fresh or chilled",1967,,132750.0,,
"Meat of cattle with the bone, fresh or chilled",1968,,135000.0,,
"Meat of cattle with the bone, fresh or chilled",1969,,139500.0,,
"Meat of cattle with the bone, fresh or chilled",1970,,142200.0,,
"Meat of cattle with the bone, fresh or chilled",1971,,141300.0,,
"Meat of cattle with the bone, fresh or chilled",1972,,141300.0,,
"Meat of cattle with the bone, fresh or chilled",1973,,135397.0,,
"Meat of cattle with the bone, fresh or chilled",1974,,138383.0,,
"Meat of cattle with the bone, fresh or chilled",1975,,141407.0,,
"Meat of cattle with the bone, fresh or chilled",1976,,145913.0,,
"Meat of cattle with the bone, fresh or chilled",1977,,149048.0,,
"Meat of cattle with the bone, fresh or chilled",1978,,170885.0,,
"Meat of cattle with the bone, fresh or chilled",1979,,178000.0,,
"Meat of cattle with the bone, fresh or chilled",1980,,120934.0,,
"Meat of cattle with the bone, fresh or chilled",1981,,122499.0,,
"Meat of cattle with the bone, fresh or chilled",1982,,124076.0,,
"Meat of cattle with the bone, fresh or chilled",1983,,125700.0,,
"Meat of cattle with the bone, fresh or chilled",1984,,122753.0,,
"Meat of cattle with the bone, fresh or chilled",1985,,133184.0,,
"Meat of cattle with the bone, fresh or chilled",1986,,134528.0,,
"Meat of cattle with the bone, fresh or chilled",1987,,135834.0,,
"Meat of cattle with the bone, fresh or chilled",1988,,137178.0,,
"Meat of cattle with the bone, fresh or chilled",1989,,138620.0,,
"Meat of cattle with the bone, fresh or chilled",1990,,139921.0,,
"Meat of cattle with the bone, fresh or chilled",1991,,140070.0,,
"Meat of cattle with the bone, fresh or chilled",1992,,141377.0,,
"Meat of cattle with the bone, fresh or chilled",1993,,144029.0,,
"Meat of cattle with the bone, fresh or chilled",1994,,146740.0,,
"Meat of cattle with the bone, fresh or chilled",1995,,147916.0,,
"Meat of cattle with the bone, fresh or chilled",1996,,152500.0,,
"Meat of cattle with the bone, fresh or chilled",1997,,165600.0,,
"Meat of cattle with the bone, fresh or chilled",1998,,161000.0,,
"Meat of cattle with the bone, fresh or chilled",1999,,170500.0,,
"Meat of cattle with the bone, fresh or chilled",2000,,172500.0,,
"Meat of cattle with the bone, fresh or chilled",2001,,174400.0,,
"Meat of cattle with the bone, fresh or chilled",2002,,178400.0,,
"Meat of cattle with the bone, fresh or chilled",2003,,180000.0,,
"Meat of cattle with the bone, fresh or chilled",2004,,181000.0,,
