crop,variety,alias,release_year,duration_days_min,duration_days_max,yield_t_ha_min,yield_t_ha_max,plant_height_cm,oil_pct,drought_tolerant,salt_tolerant,heat_tolerant,waterlogging_tolerant,cold_tolerant,fits_after_aman,short_duration,bijoy_name,description_bijoy,source
Blackgram,BARI Blackgram-1,,1990.0,65.0,70.0,1.4,1.5,32.0,,False,False,False,False,False,False,False,evwi gvm-1,1981 mv‡j fviZ †_‡K cvšÍ 30 bv‡g gvmKjvB‡qi GKwU AMÖeZx© jvBb Avbv nq| cieZ©x‡Z eû¯’vbxK cixÿvi gva¨‡g G RvZ D”P djbkxj wn‡m‡e we‡ewPZ nq Ges 1990 mv‡j K…lK ch©v‡q Pvlvev‡`i Rb¨ evwi gvm-1 bv‡g RvZxq exR †evW© KZ©„K Aby‡gv`b jvf K‡i| Mv‡Qi D”PZv 32-36 †mwg| G Rv‡Zi ex‡Ri is Kvj‡P ev`vgx| ex‡Ri AvKvi eo| nvRvi ex‡Ri IRb 38-43 Mªvg| RvZwU w`em wbi‡cÿ nIqvi d‡j Lwid-1 I Lwid-2 †gŠmy‡g Pvl Kiv hvq| Wvj ivbœv nIqvi mgq Kvj 30-35 wgwbU| Avwg‡li cwigvY 21-23%| RxebKvj 65-70w`b| djb †n±icÖwZ 1400-1500 †KwR| G RvZ nj‡` †gvRvBK fvBivm †ivM mnbkxj|,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Blackgram,BARI Blackgram-2,kir,1996.0,65.0,70.0,,,33.0,,False,False,False,False,False,False,False,evwi gvm-2,"gvmKjvB‡qi G RvZwU 1987 mv‡j weGgG-2141 Ges weGgG-2140 AMÖeZ©x jvB‡bi g‡a¨ msKivqY Kiv nq| cieZ©x‡Z cÖv_wgK, AMÖMvgx I AÂjwfwËK cixÿvi gva¨‡g 1996 mv‡j G RvZwU †`‡k Pvlvev‡`i Rb¨ Aby‡gv`b †`qv nq| Mv‡Qi AvKvi ga¨g| Mv‡Qi D”PZv 33-35 †mwg| ¯’vbxq Rv‡Zi g‡Zv jZv‡bv nq bv| cÎ djK gvSvix miæ| cvKv d‡ji is Kvj‡P, dj Lvov, d‡ji Mv‡q ïs Av‡Q| ex‡Ri is Kvj‡P| ex‡Ri AvKvi ¯’vbxq Rv‡Zi †P‡q †ek eo| nvRvi ex‡Ri IRb 32-36 MÖvg| ivbœv nIqvi mgqKvj 30-35 wgwbU| Avwg‡li cwigvY 21-24%| RxebKvj 65-70 w`b| djb †n±icÖwZ 1400-1600‡KwR| RvZwU w`em wbi‡cÿ Ges nj‡` †gvRvBK fvBivm †ivM mnbkxj|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Blackgram,BARI Blackgram-3,†ngšÍ,1996.0,65.0,70.0,1.5,1.6,35.0,,False,False,False,False,False,False,False,evwi gvm-3,gvmKjvB‡qi G RvZwU fviZ n‡Z msM„nxZ jvBb weGgG-2140 Ges weGgG-2038 Gi g‡a¨ msKivqY cÖwµqvq D™¢veb Kiv nq| cieZ©x‡Z AÂjwfwËK cixÿvi gva¨‡g 1996 mv‡j K…lK chv©‡q Pvlvev‡`i Rb¨ Aby‡gv`b Kiv nq| Mv‡Qi AvKvi ga¨g| Mv‡Qi D”PZv 35-38 †mwg| ¯’vbxq Rv‡Zi g‡Zv jZv‡bv nq bv| dj cvK‡j Kv‡jv nq| ïuwU‡Z Nb ïs Av‡Q| ex‡Ri is Kvj‡P| ex‡Ri AvKvi ¯’vbxq Rv‡Zi †P‡q eo| nvRvi ex‡Ri IRb 40-45 MÖvg| ivbœv nIqvi mgqKvj 30-37 wgwbU | Avwg‡li cwigvY 21-24%| RxebKvj 65-70 w`b| djb †n±icÖwZ 1500-1600 †KwR| G RvZ nj‡` †gvRvBK fvBivm †ivM mnbkxj|,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Blackgram,BARI Blackgram-4,,2017.0,69.0,73.0,1.25,1.44,,,False,False,False,False,False,False,False,evwi gvm-4,"cÖ¯ÍvweZ jvBbwU Wvj M‡elYv †K‡›`ª 2007 mv‡j evwi gvm-2 I BBL 05016-Gi msKivq‡Yi gva¨‡g D™¢veb Kiv nq| cieZ©x‡Z F3 I F4 †Rbv‡ik‡b D³ †KŠwjK mvwiwU AMÖvwqZ Kiv nq| cieZ©x‡Z 2012 mv‡j Pure line wn‡m‡e jvBbwU‡K wbe©vPb Kiv nq| Gi ci 2013 †_‡K 2016 mvj ch©šÍ evsjv‡`‡ki Rq‡`ecyi, h‡kvi, Rvgvjcyi, gv`vixcyi, ewikvj, e‡i›`ª I cvebv AÂ‡j djb I Awf‡hvRb ¶gZv, †ivM evjvB I †cvKv-gvKo ms‡e`bkxjZv Ges ¸YMZ gvb g~j¨vqb Kiv nq| Zb¥‡a¨ GwU D”Pdjbkxj Ges †cvKv I †ivM cÖwZ‡ivax jvBb wn‡m‡e wbe©vPb Kiv nq| `xN©w`b cix¶vi ci jvBbwU GKwU m¤¢vebvgq jvBb wn‡m‡e wbe©vwPZ nIqvq RvZ wn‡m‡e gy³vq‡bi Rb¨ cÖ¯Íve Kiv nq Ges 2017 mv‡j RvZxq exR †evW© KZ©„K evwi gvm-4 wn‡m‡e Aegy³ Kiv nq| Rv‡Zi D‡jøL‡hvM¨ ˆewkó¨  MvQ Lv‡Uv AvK…wZi (42-46 †mwg)  cvZv meyR i‡Oi I KvÐ L‡qix wcM‡g‡›Ukbhy³  exR Kvj‡P ev`vgx e‡Y©i  cvDWvix wgjwWD I njy` †gvRvBK †ivM mnbkxj  Mv‡Q d‡ji msL¨v †ewk (28-31wU)  Zzjbvg~jK eo AvK…wZi exR (1000 ex‡Ri IRb 50.4-54.0 MÖvg)  RxebKvj: 69-73 w`b  djb: 1250-1440 †KwR/†n±i","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Chickpea,BARI Chickpea-3,e‡i›`ª,1993.0,,,1.8,2.0,,,False,False,False,False,False,False,False,evwi †Qvjv-3,"evwi †Qvjv-3 ev e‡i›`ª Rv‡Zi g~j †KŠwjK mvwiwU 1985 mv‡j ICRISAT n‡Z Avbv nq| cieZ©x‡Z evsjv‡`‡ki wewfbœ GjvKvq gvwU I AvenvIqv‡Z eû¯’vwbK cixÿvi gva¨‡g G RvZwU 1993 mv‡j Pvlvev‡`i Rb¨ RvZxq exR †evW© KZ©„K Aby‡gv`b jvf K‡i| G Rv‡Zi MvQ Lvov cÖK…wZi| is nvjKv meyR, cÎdjK †ek eo Ges WMv m‡ZR| m‡e©vcwi G RvZwU Mfxig~jx| ex‡Ri AvKvi †ek eo| nvRvi ex‡Ri IRb 185-195 MÖvg| Wvj ivbœv nIqvi mgqKvj 40-44 wgwbU| Avwg‡li cwigvY 23-26%| mwVK mg‡q eyb‡j cvK‡Z mgq jv‡M 115-123 w`b| G RvZwU ivRkvnxi e‡i›`ª AÂ‡j Avev‡`i Rb¨ Dc‡hvMx| djb †n±icÖwZ 1800-2000 †KwR cvIqv hvq|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Chickpea,BARI Chickpea-4,†Rvovdzj,1996.0,120.0,125.0,1.9,2.0,50.0,,False,False,False,False,False,False,False,evwi †Qvjv-4,"G RvZwU 1985 mv‡j ICRISAT n‡Z bvmv©wii gva¨‡g msMÖn Kiv nq| cieZx©‡Z eû¯’vwbK cixÿvi gva¨‡g 1996 mv‡j RvZwU RvZxq exR †evW© KZ©„K K…lK ch©v‡q Avev‡`i Rb¨ evwi †Qvjv-4 bv‡g Aby‡gv`b Kiv nq| GK e„‡šÍ 2wU K‡i dzj I dj a‡i| MvQ gvSvwi Lvov Ges cvZv Mvp meyR| Kv‡Ð L‡qwi i‡Oi Qvc †`Lv hvq| ex‡Ri cvk¦© w`K mvgvb¨ †PÞv, Z¡K gm„Y| ex‡Ri is nvjKv ev`vgx| nvRvi ex‡Ri IRb 132-138 MÖvg| Mv‡Qi D”PZv 50-60 †mwg| Wvj ivbœv nIqvi mgqKvj 32-38 wgwbU| Avwg‡li cwigvY 18-21%| RxebKvj 120-125 w`b| djb †n±icÖwZ 1900-2000 †KwR| G RvZwU wdD‡Rwiqvg DBë †ivM mnbkxj ÿgZvm¤úbœ|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Chickpea,BARI Chickpea-5,cvebvB,1996.0,125.0,130.0,1.8,2.0,45.0,,False,False,False,False,False,False,False,evwi †Qvjv- 5,"evsjv‡`‡ki wewfbœ GjvKv n‡Z Rvg©cøvRg msMÖn I Zv g~j¨vqb K‡i evwi †Qvjv-5 ev cvebvB RvZwU D™¢veb Kiv nq| cieZ©x‡Z eû¯’vwbK cixÿvi gva¨‡g 1996 mv‡j RvZxq exR †evW© KZ©„K RvZwU Pvlvev‡`i Rb¨ Aby‡gv`b †`qv nq| MvQ wKQyUv Qov‡bv cÖK…wZi| Mv‡Qi D”PZv 45-50 †mwg Ges is nvjKv meyR| Pviv Ae¯’vq Mv‡Qi Kv‡Ð †Kvb is _v‡K bv, wKš‘ cwic° Ae¯’vq Kv‡Ð nvjKv L‡qwi is cwijwÿZ nq| exR AvKv‡i †QvU, is a~mi ev`vgx Ges wnjvg Lye ¯úó| ex‡Ri cv‡k¦© wKQyUv †PÞv Ges Z¡K gm„Y| nvRvi ex‡Ri IRb 110-120 MÖvg| Wvj ivbœv nIqvi mgqKvj 35-40 wgwbU| Avwg‡li cwigvY 20-22%| G RvZ 125-130 w`‡b cv‡K| djb †n±icÖwZ 1800-2000 †KwR|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Chickpea,BARI Chickpea-6,bvfviæb,1996.0,125.0,130.0,1.8,2.0,55.0,,False,False,False,False,False,False,False,evwi †Qvjv-6,"evwi †Qvjv-6 ev bvfviæb RvZwU 1985 mv‡j ICRISAT n‡Z AvšÍR©vwZK bvm©vwii gva¨‡g msMÖn Kiv nq| cieZ©x‡Z cÖv_wgK, AMÖeZ©x, AÂjwfwËK I eû¯’vwbK cixÿvi gva¨‡g 1996 mv‡j RvZwU K…lK ch©v‡q Avev‡`i Rb¨ RvZxq exR †evW© KZ©„K Aby‡gv`b †`qv nq| Mv‡Qi D”PZv 55-60 †mwg| cÎdjK gvSvix AvKv‡ii Ges is nvjKv meyR| Pviv Ae¯’vq Kv‡Ð †Kvb is †`Lv hvq bv, wKš‘ cwic° Ae¯’vq Kv‡Ð nvjKv L‡qwi is cwijwÿZ nq| ex‡Ri AvKvi wKQyUv †MvjvK…wZ, Z¡K gm„Y Ges is D¾¡j ev`vgx nj‡`| exR AvKv‡i †`wk Rv‡Zi †P‡q eo| nvRvi ex‡Ri IRb 155-165 MÖvg| G Rv‡Zi Wvj ivbœvi mgqKvj 32-37 wgwbU| G‡Z Avwg‡li cwigvY 19-21%| RxebKvj 125-130 w`b| djb †n±icÖwZ 1800-2000 †KwR| RvZwU bvex‡Z ecb K‡iI Ab¨vb¨ Rv‡Zi †P‡q AwaK djb cvIqv hvq|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Chickpea,BARI Chickpea-7,,1998.0,,,2.2,2.5,55.0,,False,False,False,False,False,False,False,evwi †Qvjv-7,"1990 mv‡j AvšÍRv©wZK Bbw÷wUDU ICRISAT n‡Z AvšÍR©vwZK bvm©vwii (ICSN) gva¨‡g †Qvjvi wewfbœ cÖRvwZ msMÖn Kiv nq| msM„nxZ cÖRvwZ¸wj DBë †ivMvµvšÍ Rwg‡Z evQvB Kiv nq| ICCL-3272 bvgK GB cÖRvwZwU‡K DBë †ivM mnbkxj ÿgZvm¤úbœ wn‡m‡e wPwýZ Kiv nq| Ab¨vb¨ Rv‡Zi †P‡q D”Pdjbkxj cÖZxqgvb nIqvq RvZxq exR †evW© KZ©„K 1998 mv‡j evsjv‡`‡k Pv‡li Rb¨ GwU‡K ewi‡Qvjv-7 bv‡g Aby‡gv`b †`qv nq| Mv‡Qi D”PZv cÖvq 55-60 †mwg n‡q _v‡K Ges gvSvix we¯Í…Z| cÎdjK¸wj gvSvix AvKv‡ii Ges is nvjKv meyR| Pviv Ae¯’vq Kv‡Ð nvjKv wcM‡g›U cwijwÿZ nq| ex‡Ri AvKvi wKQyUv †MvjvK…wZ, Z¡K gm„Y, is D¾¡j ev`gx njy`| dzj Avm‡Z mgq jv‡M cÖvq 55-60 w`b Ges cvK‡Z mgq jv‡M 125-130 w`b| Z‡e bvex ec‡bi †ÿ‡Î AvbycvwZKnv‡i Gi RxebKvj K‡g Av‡m| †n±icÖwZ Mo djb 2200-2500 †KwR cvIqv hvq|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
Chickpea,BARI Chickpea-8,,1998.0,125.0,130.0,,,60.0,,False,False,False,False,False,False,False,evwi †Qvjv-8,"1990 mv‡j ICRISAT n‡Z Kveyjx Rv‡Zi †ek K‡qKwU jvBb msMÖn Kiv nq| msM„nxZ jvBb¸‡jvi g‡a¨ ICCL-88003 jvBbwU †ivM cªwZ‡ivax I D”P djbkxj cvIqv hvq| djb evwi †Qvjv-7 Rv‡Zi †P‡q Kg n‡jI wfbœ ai‡bi †Qvjv nIqvq I †ivM evjvB mnbkxj we‡ewPZ nIqvq 1998 mv‡j evsjv‡`‡k Pv‡li Rb¨ GwU‡K evwi †Qvjv-8 bv‡g Aby‡gv`b Kiv nq| G RvZwU Kveyjx RvZ wn‡m‡e e¨vcK cwiwPwZ jvf K‡i‡Q| GB Rv‡Zi Mv‡Qi D”PZv cÖvq 60-65 †mwg n‡q _v‡K Ges we¯Í…Z| cÎdjK¸‡jv eo AvKv‡ii Ges is meyR| Pviv Ae¯’v n‡Z cwic° Ae¯’v ch©šÍ KvÐ nvjKv meyR _v‡K| ex‡Ri AvKvi wKQyUv †MvjvK…wZi, gm„Y Ges is mv`v| exR AvKv‡i †`wk Rv‡Zi †P‡q A‡bK eo| 1000 ex‡Ri IRb cÖvq 220-240 MÖvg| GB Rv‡Z dz‡ji is mv`v Ges RxebKvj 125-130 w`b|","BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
