site_id,name,district,lat,lon,shape_id
ADM3_Bishwambarpur,Bishwambarpur,,25.1098,91.3151,5055444B29430612429174
ADM3_Bishwanath,Bishwanath,,24.8349,91.7292,5055444B7917442502790
ADM3_Boalia,Boalia,,24.3779,88.6133,5055444B84943606791974
ADM3_Boalkhali,Boalkhali,,22.377,91.9701,5055444B39554160616851
ADM3_Boalmari,Boalmari,,23.4045,89.6971,5055444B63302256730709
ADM3_Bochaganj,Bochaganj,,25.7857,88.4535,5055444B39806235806178
ADM3_Boda,Boda,,26.2306,88.6127,5055444B728279832924
ADM3_BograSadar,Bogra Sadar,,24.8955,89.3557,5055444B83464339159312
ADM3_BrahmanPara,Brahman Para,,23.6452,91.0966,5055444B87015491124884
ADM3_BrahmanbariaSadar,Brahmanbaria Sadar,,23.9506,91.119,5055444B14183911871917
ADM3_Burhanuddin,Burhanuddin,,22.4774,90.7331,5055444B893784701157
ADM3_Burichang,Burichang,,23.5337,91.117,5055444B51169249412494
ADM3_Cantonment,Cantonment,,23.8145,90.3999,5055444B56407900252664
ADM3_ChakBazar,Chak Bazar,,23.717,90.3938,5055444B82655553221044
ADM3_Chakaria,Chakaria,,21.7402,92.0524,5055444B84996258897066
ADM3_Chandanaish,Chandanaish,,22.2122,92.0635,5055444B97657491175799
ADM3_Chandgaon,Chandgaon,,22.3876,91.8649,5055444B37030351476694
ADM3_Chandina,Chandina,,23.4459,90.9465,5055444B69698146690678
ADM3_ChandpurSadar,Chandpur Sadar,,23.227,90.6908,5055444B35741244965074
ADM3_CharBhadrasan,Char Bhadrasan,,23.5926,89.978,5055444B75331922255178
ADM3_CharFasson,Char Fasson,,22.1331,90.7071,5055444B66059160751289
ADM3_CharRajibpur,Char Rajibpur,,25.4433,89.764,5055444B63634660661381
ADM3_Charghat,Charghat,,24.3001,88.7754,5055444B52811201124670
ADM3_Chatkhil,Chatkhil,,23.0538,90.9639,5055444B29892543857449
ADM3_Chatmohar,Chatmohar,,24.2252,89.302,5055444B40727855162076
ADM3_Chauddagram,Chauddagram,,23.2203,91.2804,5055444B9070330767349
ADM3_Chaugachha,Chaugachha,,23.2634,89.0218,5055444B52558284836839
ADM3_Chauhali,Chauhali,,24.1363,89.7566,5055444B20988672766215
ADM3_Chhagalnaiya,Chhagalnaiya,,23.017,91.507,5055444B26511265806420
ADM3_Chhatak,Chhatak,,24.9439,91.6155,5055444B94988032496724
ADM3_Chilmari,Chilmari,,25.5663,89.7184,5055444B31518469261205
ADM3_Chirirbandar,Chirirbandar,,25.6654,88.7865,5055444B51943841593923
ADM3_Chitalmari,Chitalmari,,22.8123,89.8653,5055444B77604595910958
ADM3_ChittagongPort,Chittagong Port,,22.3085,91.7859,5055444B96751245569599
ADM3_ChuadangaSadar,Chuadanga Sadar,,23.5886,88.8846,5055444B67851108717142
ADM3_Chunarughat,Chunarughat,,24.1816,91.5174,5055444B46183445583986
ADM3_ComillaAdarshaSadar,Comilla Adarsha Sadar,,23.4699,91.1712,5055444B48258460974709
ADM3_ComillaSadarDakshin,Comilla Sadar Dakshin,,23.358,91.1833,5055444B83041215814881
ADM3_Companiganj_539746,Companiganj,,22.7825,91.2735,5055444B56228986539746
ADM3_Companiganj_185666,Companiganj,,25.0796,91.7734,5055444B34344695185666
ADM3_CoxsBazarSadar,Cox's Bazar Sadar,,21.5056,92.0347,5055444B44088891115489
ADM3_Dacope,Dacope,,22.3889,89.5185,5055444B27282750635430
ADM3_Daganbhuiyan,Daganbhuiyan,,22.9706,91.2997,5055444B99414305730014
ADM3_DakshinSunamganj,Dakshin Sunamganj,,24.9126,91.4106,5055444B18079460407879
ADM3_DakshinSurma,Dakshin Surma,,24.8161,91.877,5055444B91315333896705
ADM3_Dakshinkhan,Dakshinkhan,,23.8611,90.425,5055444B54932712585204
ADM3_Damudya,Damudya,,23.1368,90.4217,5055444B78904096490349
